Issue #,Issue Title,Current Team,Suggested Team,Confidence,Test Class,YAML Path,Feature Area,Reasoning,URL
19752,Add checkstyle precommit for hidden/shadowed variables,Team:Delivery,Team:Delivery,low,,,Unknown,Defaulting to Delivery (test infrastructure),https://github.com/elastic/elasticsearch/issues/19752
30024,[build] never release a version with a snapshot dependency,Team:Delivery,Team:Delivery,low,,,Unknown,Defaulting to Delivery (test infrastructure),https://github.com/elastic/elasticsearch/issues/30024
31096,Add mixed-cluster tests for X-Pack,Team:Delivery,Team:Delivery,low,,,Unknown,Defaulting to Delivery (test infrastructure),https://github.com/elastic/elasticsearch/issues/31096
31900,REPRODUCE WITH lines don't play nicely with tests.iters,Team:Delivery,Team:Delivery,low,,,Unknown,Defaulting to Delivery (test infrastructure),https://github.com/elastic/elasticsearch/issues/31900
34459,Replace groovy build-tools (buildSrc) with java,Team:Delivery,Team:Delivery,low,,,Unknown,Defaulting to Delivery (test infrastructure),https://github.com/elastic/elasticsearch/issues/34459
34530,Port x-pack cleanup code to ESRestTestCase,Team:Delivery,Team:Delivery,low,,,Unknown,Defaulting to Delivery (test infrastructure),https://github.com/elastic/elasticsearch/issues/34530
34563,REST test against clusters with dedicated master nodes,Team:Delivery,Team:Delivery,low,,,Unknown,Defaulting to Delivery (test infrastructure),https://github.com/elastic/elasticsearch/issues/34563
35585,Integration tests should sometimes cleanly shut nodes down,Team:Delivery,Team:Delivery,low,,,Unknown,Defaulting to Delivery (test infrastructure),https://github.com/elastic/elasticsearch/issues/35585
35805,Allow setting regex flags on YAML test matches,Team:Delivery,Team:Delivery,low,,,Unknown,Defaulting to Delivery (test infrastructure),https://github.com/elastic/elasticsearch/issues/35805
36388,YAML tests: `catch` and warnings don't play nice,Team:Delivery,Team:Delivery,low,,,Unknown,Defaulting to Delivery (test infrastructure),https://github.com/elastic/elasticsearch/issues/36388
40732,Support docker in testclusters so we can swap it in any of the existing tests,Team:Delivery,Team:Delivery,medium,,,Delivery,Feature area: Delivery,https://github.com/elastic/elasticsearch/issues/40732
44242,[Build Cache] Prefer usage of integ-test distribution for REST tests,Team:Delivery,Team:Delivery,medium,,,Delivery,Feature area: Delivery,https://github.com/elastic/elasticsearch/issues/44242
45636,Yaml Integration tests use deprecated paths,Team:Delivery,Team:Delivery,low,,,Unknown,Defaulting to Delivery (test infrastructure),https://github.com/elastic/elasticsearch/issues/45636
46636,Add task to ensure the yaml tests parse,Team:Delivery,Team:Delivery,low,,,Unknown,Defaulting to Delivery (test infrastructure),https://github.com/elastic/elasticsearch/issues/46636
