abbrev:keyword,airport:text,region:text,city:keyword,city_location:geo_point,city_boundary:geo_shape
ABJ,Abidjan Port Bouet,Abidjan,Abidjan,POINT(-4.0333 5.3167),"POLYGON((-4.2941 5.307\,-4.2519 5.2994\,-4.2167 5.2209\,-3.978 5.2553\,-3.8548 5.2269\,-3.844 5.2541\,-3.8196 5.2507\,-3.8086 5.2893\,-3.7879 5.2728\,-3.7307 5.2737\,-3.7177 5.2945\,-3.7847 5.3634\,-3.8274 5.3747\,-3.8135 5.4275\,-3.8261 5.4324\,-3.8304 5.4854\,-3.8462 5.5089\,-3.8684 5.504\,-3.8966 5.5546\,-3.9219 5.5653\,-3.9356 5.6363\,-3.9853 5.6053\,-4.2579 5.6058\,-4.2439 5.49\,-4.2597 5.4862\,-4.2725 5.4497\,-4.2941 5.307))"
ABV,Abuja Int'l,Municipal Area Council,Abuja,POINT(7.4833 9.0667),"POLYGON((7.0972 8.9458\,7.3315 8.8215\,7.4793 8.8065\,7.4852 8.7724\,7.5231 8.7478\,7.482 8.6784\,7.4297 8.6384\,7.4776 8.6313\,7.5917 8.8349\,7.5887 9.1291\,7.6033 9.1614\,7.2498 9.1557\,7.1911 9.0483\,7.0972 8.9458))"
ACA,General Juan N Alvarez Int'l,Acapulco de Juárez,Acapulco de Juárez,POINT(-99.8825 16.8636),"POLYGON((-100.0022 16.914\,-99.6089 16.6834\,-99.4736 16.972\,-99.7223 17.2337\,-100.0022 16.914))"
ACC,Kotoka Int'l,Accra,Accra,POINT(-0.2 5.55),"POLYGON((-0.2841 5.572\,-0.272 5.5406\,-0.282 5.5172\,-0.1227 5.5661\,-0.0549 5.6077\,-0.1142 5.6466\,-0.1407 5.636\,-0.1515 5.6599\,-0.1904 5.6674\,-0.2671 5.6069\,-0.2841 5.572))"
ACV,Arcata-Eureka,Humboldt County,McKinleyville,POINT(-124.0857 40.9488),"POLYGON((-124.482 40.4403\,-124.4281 40.3618\,-124.4213 40.2371\,-124.2312 40.0934\,-124.1538 40.0635\,-124.1349 40.0025\,-123.5445 40.002\,-123.5435 40.7376\,-123.5661 40.789\,-123.5537 40.7962\,-123.5636 40.842\,-123.5876 40.8586\,-123.5801 40.8676\,-123.6103 40.8785\,-123.5973 40.8844\,-123.6238 40.9293\,-123.5874 40.928\,-123.5594 40.9503\,-123.4815 40.9148\,-123.4058 41.0134\,-123.4235 41.0582\,-123.4638 41.0761\,-123.464 41.0951\,-123.4396 41.0924\,-123.4325 41.1628\,-123.4081 41.1801\,-123.4541 41.2363\,-123.4431 41.273\,-123.4615 41.2826\,-123.4596 41.3101\,-123.4786 41.3296\,-123.4743 41.3663\,-123.4993 41.3824\,-123.7704 41.3808\,-123.7708 41.4641\,-124.1366 41.4645\,-124.14 41.3818\,-124.2065 41.3847\,-124.2424 41.3433\,-124.22 41.303\,-124.1607 41.2893\,-124.1955 41.1846\,-124.2376 41.166\,-124.2525 41.1341\,-124.2271 41.0466\,-124.1827 41.0013\,-124.1976 40.9505\,-124.2326 40.8693\,-124.4034 40.6132\,-124.482 40.4403))"
ADA,Şakirpaşa,Adana,Adana,POINT(35.3213 37.0),"POLYGON((34.7393 36.574\,35.4026 36.263\,35.965 36.671\,36.0962 37.155\,35.8806 37.1757\,35.9203 37.4744\,36.2673 37.7557\,36.3747 38.3784\,35.7699 38.1024\,35.5128 37.7183\,34.8796 37.682\,34.7788 37.3309\,34.9746 37.2677\,35.1471 36.7991\,34.7393 36.574))"
ADB,Adnan Menderes,İzmir,İzmir,POINT(27.14 38.42),"POLYGON((26.1708 38.2618\,27.3897 37.8152\,27.524 38.0078\,28.0074 37.9658\,28.4931 38.2282\,28.083 38.4069\,27.8179 38.3067\,27.243 38.5757\,27.1127 38.8002\,27.5638 39.026\,27.3765 39.3855\,26.6876 39.1198\,26.7787 38.8317\,26.2843 38.7099\,26.3435 38.4925\,26.1708 38.2618))"
ADD,Bole Int'l,አዲስ አበባ / Addis Ababa,Addis Ababa,POINT(38.74 9.03),"POLYGON((38.6399 8.974\,38.6798 8.9583\,38.6828 8.9401\,38.7435 8.9009\,38.747 8.8638\,38.7754 8.8599\,38.7828 8.8353\,38.8004 8.8331\,38.8259 8.8417\,38.8264 8.8807\,38.8714 8.874\,38.8809 8.9187\,38.857 8.9387\,38.8991 8.9357\,38.9081 8.999\,38.8768 9.0839\,38.7949 9.0722\,38.7667 9.0985\,38.6858 9.0733\,38.6694 9.0113\,38.652 9.0087\,38.6579 8.9774\,38.6399 8.974))"
ADE,Aden Int'l,مديرية خور مكسر,Aden,POINT(45.0333 12.8),"POLYGON((45.0013 12.8433\,45.0237 12.8111\,45.0168 12.81\,45.0158 12.8005\,45.0239 12.8101\,45.0403 12.7901\,45.0981 12.9407\,45.0448 12.9399\,45.0319 12.8433\,45.0013 12.8433))"
ADJ,Marka Int'l,ناحية عمان,Amman,POINT(35.9328 31.9497),"POLYGON((35.8695 31.9418\,35.8748 31.9331\,35.9073 31.9155\,35.9389 31.9031\,35.95 31.9425\,35.9258 31.9673\,35.916 31.9928\,35.9006 31.987\,35.8891 31.9768\,35.8855 31.966\,35.8741 31.973\,35.8698 31.9741\,35.8695 31.9418))"
ADL,Adelaide Int'l,Adelaide City Council,Adelaide,POINT(138.6 -34.9275),"POLYGON((138.5772 -34.9088\,138.5827 -34.9418\,138.6242 -34.9399\,138.6233 -34.9283\,138.6155 -34.9227\,138.6126 -34.9055\,138.6101 -34.9024\,138.5976 -34.8988\,138.588 -34.8994\,138.5772 -34.9088))"
AGT,Guaraní Int'l,Ciudad del Este,Ciudad del Este,POINT(-54.6167 -25.5167),"POLYGON((-54.7402 -25.5977\,-54.7072 -25.5742\,-54.6932 -25.5388\,-54.6174 -25.5379\,-54.5939 -25.5535\,-54.6014 -25.5031\,-54.6391 -25.4778\,-54.628 -25.4592\,-54.6482 -25.4433\,-54.6685 -25.4685\,-54.683 -25.4326\,-54.7103 -25.4434\,-54.711 -25.4245\,-54.6698 -25.4144\,-54.7001 -25.3949\,-54.715 -25.4169\,-54.7258 -25.3867\,-54.739 -25.4048\,-54.7191 -25.4156\,-54.7402 -25.5977))"
