abbrev:keyword,name:text,                                   scalerank:integer,type:keyword,     location:geo_point
LUH,           Sahnewal,                                    9,                small,            POINT(75.9570722403652 30.8503598561702)
SSE,           Solapur,                                     9,                mid,              POINT(75.9330597710755 17.625415183635)
IXR,           Birsa Munda,                                 9,                mid,              POINT(85.3235970368767 23.3177245989962)
AWZ,           Ahwaz,                                       9,                mid,              POINT(48.7471065435931 31.3431585560757)
GWL,           Gwalior,                                     9,                [mid,military],   POINT(78.2172186546348 26.285487697937)
HOD,           Hodeidah Int'l,                              9,                mid,              POINT(42.97109630194 14.7552534413725)
IDR,           Devi Ahilyabai Holkar Int'l,                 9,                mid,              POINT(75.8092915005895 22.727749187571)
ISK,           Gandhinagar,                                 9,                mid,              POINT(73.8105674924689 19.9660205672806)
IXC,           Chandigarh Int'l,                            9,                [major,military], POINT(76.8017261105242 30.6707248949667)
IXU,           Aurangabad,                                  9,                mid,              POINT(75.3958432922005 19.8672969621082)
LYP,           Faisalabad Int'l,                            9,                [mid,military],   POINT(72.9878190922305 31.3627435480862)
OMS,           Omsk Tsentralny,                             9,                mid,              POINT(73.3163595376585 54.9576482934059)
OVB,           Novosibirsk Tolmachev,                       9,                mid,              POINT(82.6671524525865 55.0095847136264)
OZH,           Zaporozhye Int'l,                            9,                [mid,military],   POINT(35.3018728575279 47.8732635579023)
PKU,           Simpang Tiga,                                9,                mid,              POINT(101.446569298441 0.464600872998505)
ROP,           Rota Int'l,                                  9,                mid,              POINT(145.243980298582 14.1717712971216)
SGC,           Surgut,                                      9,                mid,              POINT(73.4084964764375 61.3401672194481)
TRZ,           Tiruchirappalli,                             9,                mid,              POINT(78.7089578747476 10.7603571306554)
TUK,           Turbat Int'l,                                9,                mid,              POINT(63.0279333519181 25.988794590011)
UET,           Quetta Int'l,                                9,                mid,              POINT(66.9487311480949 30.249043186181)
ZAH,           Zahedan Int'l,                               9,                mid,              POINT(60.900708564915 29.4752941956573)
MLG,           Abdul Rachman Saleh,                         9,                [mid,military],   POINT(112.711418617258 -7.92998002840567)
BAX,           Barnaul,                                     9,                mid,              POINT(83.5504532124038 53.3633850813046)
