id:keyword,name:keyword,shape:geo_shape
FLK,Falkland Is.,"BBOX(-61.148055\, -57.733200\, -51.249455\, -52.343055)"
GUF,French Guiana,"BBOX(-54.603782\, -51.648055\, 5.755418\, 2.113473)"
GUY,Guyana,"BBOX(-61.389727\, -56.470636\, 8.535273\, 1.186873)"
PCN,Pitcairn Is.,"BBOX(-130.105055\, -128.286118\, -24.325836\, -25.082227)"
SGS,South Georgia & the South Sandwich Is.,"BBOX(-38.023755\, -26.241391\, -53.989727\, -58.498609)"
SHN,St. Helena,"BBOX(-5.792782\, -5.645282\, -15.903755\, -16.021946)"
SUR,Suriname,"BBOX(-58.071400\, -53.986118\, 6.001809\, 1.836245)"
TTO,Trinidad & Tobago,"BBOX(-61.921600\, -60.520836\, 11.345554\, 10.040345)"
VEN,Venezuela,"BBOX(-73.378064\, -59.803055\, 12.197500\, 0.649164)"
ASM,American Samoa,"BBOX(-170.823227\, -170.561873\, -14.254309\, -14.375555)"
COK,Cook Is.,"BBOX(-165.848345\, -157.703764\, -10.881318\, -21.940836)"
PYF,French Polynesia,"BBOX(-151.497773\, -138.809755\, -8.778191\, -17.870836)"
UMI,Jarvis I.,"BBOX(-160.045164\, -160.009464\, -0.374309\, -0.398055)"
NIU,Niue,"BBOX(-169.952236\, -169.781555\, -18.963336\, -19.145555)"
WSM,Samoa,"BBOX(-172.780027\, -171.429200\, -13.460555\, -14.057500)"
TKL,Tokelau,"BBOX(-171.862718\, -171.843764\, -9.170627\, -9.218891)"
TON,Tonga,"BBOX(-175.360000\, -173.906827\, -18.568055\, -21.268064)"
WLF,Wallis & Futuna,"BBOX(-178.190273\, -176.121936\, -13.214864\, -14.323891)"
ARG,Argentina,"BBOX(-73.582300\, -53.650009\, -21.780518\, -55.051673)"
BOL,Bolivia,"BBOX(-69.656191\, -57.521118\, -9.679191\, -22.901109)"
BRA,Brazil,"BBOX(-74.004591\, -34.792918\, 5.272709\, -33.741118)"
CHL,Chile,"BBOX(-109.446109\, -66.420627\, -17.505282\, -55.902227)"
ECU,Ecuador,"BBOX(-91.663891\, -75.216846\, 1.437782\, -5.000309)"
PRY,Paraguay,"BBOX(-62.643773\, -54.243900\, -19.296809\, -27.584727)"
PER,Peru,"BBOX(-81.355146\, -68.673909\, -0.036873\, -18.348546)"
URY,Uruguay,"BBOX(-58.438609\, -53.098300\, -30.096673\, -34.943818)"
UMI,Baker I.,"BBOX(-176.467655\, -176.455855\, 0.222573\, 0.215282)"
CAN,Canada,"BBOX(-141.002991\, -52.617364\, 83.113873\, 41.675554)"
GTM,Guatemala,"BBOX(-92.246782\, -88.214736\, 17.821109\, 13.745836)"
UMI,Howland I.,"BBOX(-176.643082\, -176.631091\, 0.808609\, 0.790282)"
UMI,Johnston Atoll,"BBOX(-169.538936\, -169.523927\, 16.730273\, 16.724164)"
MEX,Mexico,"BBOX(-118.404164\, -86.738618\, 32.718454\, 14.550545)"
UMI,Midway Is.,"BBOX(-177.395845\, -177.360545\, 28.221518\, 28.184154)"
BRB,Barbados,"BBOX(-59.659446\, -59.427082\, 13.337082\, 13.050554)"
DMA,Dominica,"BBOX(-61.491391\, -61.250700\, 15.631945\, 15.198054)"
GRD,Grenada,"BBOX(-61.785182\, -61.596391\, 12.237154\, 11.996945)"
GLP,Guadeloupe,"BBOX(-61.796109\, -61.187082\, 16.512918\, 15.870000)"
MTQ,Martinique,"BBOX(-61.231536\, -60.816946\, 14.880136\, 14.402773)"
LCA,St. Lucia,"BBOX(-61.079582\, -60.878064\, 14.109309\, 13.709445)"
SPM,St. Pierre & Miquelon,"BBOX(-56.397782\, -56.145500\, 47.135827\, 46.747191)"
VCT,St. Vincent & the Grenadines,"BBOX(-61.280146\, -61.120282\, 13.383191\, 13.130282)"
ABW,Aruba,"BBOX(-70.059664\, -69.874864\, 12.627773\, 12.411109)"
BMU,Bermuda,"BBOX(-64.823064\, -64.676809\, 32.379509\, 32.260554)"
DOM,Dominican Republic,"BBOX(-72.003064\, -68.322927\, 19.930827\, 17.604164)"
HTI,Haiti,"BBOX(-74.467791\, -71.629182\, 20.091454\, 18.022782)"
JAM,Jamaica,"BBOX(-78.373900\, -76.221118\, 18.522500\, 17.697218)"
ANT,Netherlands Antilles,"BBOX(-69.163618\, -68.192927\, 12.383891\, 12.020554)"
BHS,The Bahamas,"BBOX(-78.978900\, -72.738891\, 26.929164\, 20.915273)"
TCA,Turks & Caicos Is.,"BBOX(-72.031464\, -71.127573\, 21.957773\, 21.429918)"
BLZ,Belize,"BBOX(-89.216400\, -87.779591\, 18.489900\, 15.889854)"
CYM,Cayman Is.,"BBOX(-81.400836\, -81.093064\, 19.354164\, 19.265000)"
COL,Colombia,"BBOX(-81.720146\, -66.870455\, 12.590273\, -4.236873)"
CRI,Costa Rica,"BBOX(-85.911391\, -82.561400\, 11.212845\, 8.025673)"
CUB,Cuba,"BBOX(-84.952927\, -74.131255\, 23.194027\, 19.821945)"
SLV,El Salvador,"BBOX(-90.108064\, -87.694673\, 14.431982\, 13.156391)"
HND,Honduras,"BBOX(-89.350491\, -83.131855\, 16.435827\, 12.985173)"
NIC,Nicaragua,"BBOX(-87.689827\, -83.131855\, 15.022218\, 10.709691)"
PAN,Panama,"BBOX(-83.030291\, -77.198336\, 9.620136\, 7.206109)"
AIA,Anguilla,"BBOX(-63.167782\, -62.972709\, 18.272982\, 18.164445)"
ATG,Antigua & Barbuda,"BBOX(-61.891109\, -61.666946\, 17.724300\, 16.989718)"
VGB,British Virgin Is.,"BBOX(-64.698482\, -64.324527\, 18.504854\, 18.383891)"
MSR,Montserrat,"BBOX(-62.236946\, -62.138891\, 16.812354\, 16.671391)"
PRI,Puerto Rico,"BBOX(-67.266400\, -65.301118\, 18.519445\, 17.922218)"
KNA,St. Kitts & Nevis,"BBOX(-62.862782\, -62.622509\, 17.410136\, 17.208882)"
VIR,Virgin Is.,"BBOX(-65.023509\, -64.562573\, 18.387673\, 17.676664)"
FRO,Faroe Is.,"BBOX(-7.433473\, -6.389718\, 62.357500\, 61.388327)"
GRL,Greenland,"BBOX(-73.053609\, -12.157637\, 83.623600\, 59.790273)"
XGK,Guernsey,"BBOX(-2.668609\, -2.500973\, 49.508191\, 49.422491)"
ISL,Iceland,"BBOX(-24.538400\, -13.499446\, 66.536100\, 63.390000)"
IRL,Ireland,"BBOX(-10.474727\, -6.013055\, 55.379991\, 51.445545)"
XIM,Isle of Man,"BBOX(-4.787155\, -4.308682\, 54.416382\, 54.055545)"
SJM,Jan Mayen,"BBOX(-9.119909\, -7.928509\, 71.180818\, 70.803863)"
XJE,Jersey,"BBOX(-2.247364\, -2.015000\, 49.261109\, 49.167773)"
GBR,United Kingdom,"BBOX(-8.171664\, 1.749445\, 60.843327\, 49.955273)"
CPV,Cape Verde,"BBOX(-25.360555\, -22.666109\, 17.192364\, 14.811109)"
CIV,Cote d'Ivoire,"BBOX(-8.606382\, -2.487782\, 10.735254\, 4.344718)"
GHA,Ghana,"BBOX(-3.248891\, 1.202782\, 11.155691\, 4.727082)"
GIB,Gibraltar,"BBOX(-5.356173\, -5.334509\, 36.163309\, 36.112073)"
LBR,Liberia,"BBOX(-11.492327\, -7.368400\, 8.512782\, 4.343609)"
MAR,Morocco,"BBOX(-13.174964\, -1.011809\, 35.919164\, 27.664236)"
PRT,Portugal,"BBOX(-31.289027\, -6.190455\, 42.150673\, 32.637500)"
ESP,Spain,"BBOX(-18.169864\, 4.316945\, 43.764300\, 27.637500)"
ESH,Western Sahara,"BBOX(-17.101527\, -8.666391\, 27.666954\, 20.764100)"
BFA,Burkina Faso,"BBOX(-5.520837\, 2.397927\, 15.082773\, 9.395691)"
GIN,Guinea,"BBOX(-15.080837\, -7.653373\, 12.677500\, 7.193927)"
GNB,Guinea-Bissau,"BBOX(-16.717773\, -13.643891\, 12.684718\, 10.925100)"
MLI,Mali,"BBOX(-12.244837\, 4.251391\, 25.000273\, 10.142154)"
MRT,Mauritania,"BBOX(-17.075555\, -4.806109\, 27.290454\, 14.725636)"
SEN,Senegal,"BBOX(-17.532782\, -11.369927\, 16.690618\, 12.301745)"
SLE,Sierra Leone,"BBOX(-13.295609\, -10.264309\, 9.997500\, 6.923609)"
GMB,The Gambia,"BBOX(-16.821664\, -13.798609\, 13.826391\, 13.059973)"
DJI,Djibouti,"BBOX(41.759854\, 43.420409\, 12.708327\, 10.942218)"
ERI,Eritrea,"BBOX(36.443282\, 43.121382\, 17.994882\, 12.363891)"
ETH,Ethiopia,"BBOX(32.991800\, 47.988245\, 14.883609\, 3.406664)"
MNG,Mongolia,"BBOX(87.761100\, 119.931509\, 52.142773\, 41.586654)"
SDN,Sudan,"BBOX(21.829100\, 38.607500\, 22.232218\, 3.493391)"
