abbrev:keyword,name:text,                                   scalerank:integer,type:keyword,     location:geo_point,                         country:keyword,                city:keyword,                   city_location:geo_point
LUH,           Sahnewal,                                    9,                small,            POINT(75.9570722403652 30.8503598561702),   India,                          Ludhiāna,                       POINT(75.85 30.91)
SSE,           Solapur,                                     9,                mid,              POINT(75.9330597710755 17.625415183635),    India,                          Solāpur,                        POINT(75.92 17.68)
IXR,           Birsa Munda,                                 9,                mid,              POINT(85.3235970368767 23.3177245989962),   India,                          Rānchi,                         POINT(85.33 23.36)
AWZ,           Ahwaz,                                       9,                mid,              POINT(48.7471065435931 31.3431585560757),   Iran,                           Ahvāz,                          POINT(48.6692 31.3203)
GWL,           Gwalior,                                     9,                [mid,military],   POINT(78.2172186546348 26.285487697937),    India,                          Gwalior,                        POINT(78.178 26.2215)
HOD,           Hodeidah Int'l,                              9,                mid,              POINT(42.97109630194 14.7552534413725),     Yemen,                          Al Ḩudaydah,                    POINT(42.9511 14.8022)
IDR,           Devi Ahilyabai Holkar Int'l,                 9,                mid,              POINT(75.8092915005895 22.727749187571),    India,                          Indore,                         POINT(75.8472 22.7167)
ISK,           Gandhinagar,                                 9,                mid,              POINT(73.8105674924689 19.9660205672806),   India,                          Nāsik,                          POINT(73.78 20.0)
IXC,           Chandigarh Int'l,                            9,                [major,military], POINT(76.8017261105242 30.6707248949667),   India,                          Chandīgarh,                     POINT(76.78 30.75)
IXU,           Aurangabad,                                  9,                mid,              POINT(75.3958432922005 19.8672969621082),   India,                          Jālna,                          POINT(75.8864 19.841)
LYP,           Faisalabad Int'l,                            9,                [mid,military],   POINT(72.9878190922305 31.3627435480862),   Pakistan,                       Faisalabad,                     POINT(73.0911 31.4167)
OMS,           Omsk Tsentralny,                             9,                mid,              POINT(73.3163595376585 54.9576482934059),   Russia,                         Omsk,                           POINT(73.3833 54.9667)
OVB,           Novosibirsk Tolmachev,                       9,                mid,              POINT(82.6671524525865 55.0095847136264),   Russia,                         Novosibirsk,                    POINT(82.9167 55.0333)
OZH,           Zaporozhye Int'l,                            9,                [mid,military],   POINT(35.3018728575279 47.8732635579023),   Ukraine,                        Zaporizhzhia,                   POINT(35.1175 47.85)
PKU,           Simpang Tiga,                                9,                mid,              POINT(101.446569298441 0.464600872998505),  Indonesia,                      Pekanbaru,                      POINT(101.4453 0.5092)
ROP,           Rota Int'l,                                  9,                mid,              POINT(145.243980298582 14.1717712971216),   Northern Mariana Islands,       Capitol Hill,                   POINT(145.7546 15.2137)
SGC,           Surgut,                                      9,                mid,              POINT(73.4084964764375 61.3401672194481),   Russia,                         Surgut,                         POINT(73.4333 61.25)
TRZ,           Tiruchirappalli,                             9,                mid,              POINT(78.7089578747476 10.7603571306554),   India,                          Trichinopoly,                   POINT(78.7047 10.7903)
