abbrev:keyword,name:text,scalerank:integer,type:keyword,location:cartesian_point
LUH,Sahnewal,9,small,POINT(8455502.60394535 3613330.7325705294)
SSE,Solapur,9,mid,POINT(8452829.548091331 1993750.242252398)
IXR,Birsa Munda,9,mid,POINT(9498179.37479558 2670487.5434313933)
AWZ,Ahwaz,9,mid,POINT(5426503.078078238 3677395.4640035294)
HOD,Hodeidah Int'l,9,mid,POINT(4783520.559160681 1661010.0197476079)
IDR,Devi Ahilyabai Holkar Int'l,9,mid,POINT(8439051.727244465 2599127.5424638605)
ISK,Gandhinagar,9,mid,POINT(8216554.78842419 2269006.0308637465)
IXU,Aurangabad,9,mid,POINT(8393026.88321721 2257317.0388104157)
OMS,Omsk Tsentralny,9,mid,POINT(8161539.810548711 7353650.845101996)
OVB,Novosibirsk Tolmachev,9,mid,POINT(9202465.316351846 7363726.532780712)
PKU,Simpang Tiga,9,mid,POINT(11292980.437026992 51719.69939393884)
ROP,Rota Int'l,9,mid,POINT(16168485.927626405 1593930.8182564748)
SGC,Surgut,9,mid,POINT(8171796.44765684 8704352.415875759)
TRZ,Tiruchirappalli,9,mid,POINT(8761841.111486122 1204941.537981898)
TUK,Turbat Int'l,9,mid,POINT(7016237.446487907 2997693.1716453317)
UET,Quetta Int'l,9,mid,POINT(7452698.660661697 3535602.359115375)
ZAH,Zahedan Int'l,9,mid,POINT(6779435.866395892 3436280.545331025)
BAX,Barnaul,9,mid,POINT(9300793.907152018 7050499.2403030945)
VIBY,Bareilly,9,military,POINT(8844556.48169578 3302259.0587350638)
OPQS,Dhamial,9,small,POINT(8129890.599688743 3970061.6672929903)
CJJ,Cheongju Int'l,9,major,POINT(14192780.461221408 4400430.851323913)
TAE,Daegu Int'l,9,mid,POINT(14319865.193657074 4286860.313581915)
USN,Ulsan,9,mid,POINT(14399814.111402465 4244748.079758785)
WIIT,Radin Inten II,9,mid,POINT(11708145.489503577 -584415.9142832769)
IXD,Allahabad,9,military,POINT(9098334.24757184 2930320.416739089)
CEK,Chelyabinsk,9,mid,POINT(6847513.34653189 7419877.287944653)
RTM,Rotterdam The Hague,8,mid,POINT(493573.29525730683 6790932.76136571)
VOZ,Voronezh-Chertovitskoye,8,mid,POINT(4366557.080596029 6766314.883439611)
LPL,Liverpool John Lennon,8,major,POINT(-318220.1960029257 7045462.213490053)
VTZ,Vishakapatnam,8,mid,POINT(9264400.050848246 2005730.8942003187)
UPG,Sultan Hasanuddin Int'l,8,major,POINT(13307765.486738103 -563891.4411780944)
VAV,Vava'u Int'l,8,mid,POINT(-19366039.63214016 -2106254.9227825566)
NCL,Newcastle Int'l,8,major,POINT(-190394.8217633351 7369066.857457128)
LCE,Goloson Int'l,8,mid,POINT(-9668261.248290801 1775229.5340126597)
MED,Madinah Int'l,8,major,POINT(4419287.5995595 2819867.0163798034)
YMX,Mirabel Int'l,8,mid,POINT(-8240841.451455459 5729730.32650937)
PLQ,Palanga Int'l,8,mid,POINT(2348556.9901333293 7552712.896849933)
JAI,Jaipur Int'l,8,mid,POINT(8438129.881488405 3101148.238256189)
IXW,Sonari,8,mid,POINT(9592675.061834114 2609711.3556761574)
YEI,Yenisehir,8,mid,POINT(3288925.4499280043 4903146.366382311)
ADA,Şakirpaşa,8,major,POINT(3929239.7725849575 4437045.3220224455)
ADQ,Kodiak,8,mid,POINT(-16974623.632803146 7914688.984267773)
AMA,Amarillo Int'l,8,major,POINT(-11321788.081606884 4193601.017647079)
ASP,Alice Springs,8,mid,POINT(14906004.647493467 -2729295.548151684)
BBI,Biju Patnaik,8,mid,POINT(9553092.491190977 2302986.8243190064)
BET,Bethel,8,mid,POINT(-18015833.618824102 8575194.185266923)
BGA,Palonegro,8,mid,POINT(-8146462.836181615 795507.4679731242)
BHM,Birmingham Int'l,8,major,POINT(-9657230.472993236 3970122.1375035276)
BHQ,Broken Hill,8,mid,POINT(15748413.703297768 -3763178.934067017)
BIL,Logan Int'l,8,major,POINT(-12082275.711751565 5748945.312867002)
BIS,Bismarck Muni.,8,mid,POINT(-11216270.39914765 5905442.7024805)
BJX,Del Bajio Int'l,8,mid,POINT(-11296563.152872415 2390195.8574735913)
BNI,Benin,8,mid,POINT(623799.0891538061 704652.9070746127)
BOJ,Bourgas,8,major,POINT(3063112.6791152563 5246307.98528631)
BRE,Bremen,8,major,POINT(978037.6584513546 6992675.481947904)
BRM,Jacinto Lara Int'l,8,mid,POINT(-7720685.958046343 1124010.8981878893)
BRO,Brownsville-South Padre Island Int'l,8,mid,POINT(-10846054.504764346 2987477.244173611)
BRS,Bristol Int'l,8,major,POINT(-301772.0770497764 6689911.121977719)
BTR,Baton Rouge Metro,8,major,POINT(-10147523.482711002 3572197.752773574)
BTS,Bratislava-M.R. Štefánik,8,major,POINT(1914693.5720991618 6135156.464057406)
BTV,Burlington Int'l,8,mid,POINT(-8143586.11862753 5538342.439387725)
CAE,Columbia Metro,8,major,POINT(-9029049.897824744 4019970.844460819)
CCJ,Calicut Int'l,8,major,POINT(8454825.87302229 1247936.18972128)
CCK,Cocos (Keeling) Islands,8,mid,POINT(10778926.83405992 -1366787.9252723285)
CFU,Corfu Int'l (Ioannis Kapodistrias),8,mid,POINT(2216900.5154671874 4808960.53091504)
CGQ,Changchun Longjia Int'l,8,major,POINT(13991797.649996879 5464360.757377616)
CJB,Coimbatore,8,mid,POINT(8575930.4260053 1235525.115500211)
CLJ,Someseni,8,mid,POINT(2636822.6931889798 5906670.9548221715)
CMW,Ignacio Agramonte,8,mid,POINT(-8665677.337307706 2442592.6191352885)
CPR,Casper/Natrona County Int'l,8,major,POINT(-11851567.783803489 5296336.193346968)
CRK,Clark Int'l,8,major,POINT(13419650.356063033 1710834.7683201516)
CTA,Catania Fontanarossa,8,major,POINT(1677302.030486277 4504832.994753228)
CTM,Chetumal Int'l,8,mid,POINT(-9832211.652516523 2096911.838660972)
CWL,Cardiff,8,major,POINT(-371759.094310016 6692110.5772358915)
CYB,Gerrard Smith,8,mid,POINT(-8892140.994383324 2236327.1901728613)
CZM,Cozumel Int'l,8,mid,POINT(-9677048.57568442 2333731.052796642)
DAY,James M. Cox Dayton Int'l,8,major,POINT(-9375378.65743411 4851281.9169470705)
DBO,Dubbo,8,mid,POINT(16538705.24374076 -3792050.261192505)
DCA,Washington Nat'l,8,major,POINT(-8576425.087554498 4700739.2820124375)
DGO,Durango Int'l,8,mid,POINT(-11636654.510161458 2768793.0561534814)
DNK,Voloskoye,8,mid,POINT(3906635.748371418 6168224.997725351)
DOK,Donetsk,8,major,POINT(4201732.868678245 6118369.504076505)
DZO,Santa Bernardina Int'l,8,mid,POINT(-6289469.256526324 -3943067.186649304)
EDI,Edinburgh Int'l,8,major,POINT(-374510.45803289703 7548181.024106322)
EIS,Terrance B. Lettsome Int'l,8,mid,POINT(-7184242.835168404 2089626.4842600985)
EKO,Elko Reg.,8,mid,POINT(-12889291.908879902 4986946.728825229)
ESE,Ensenada,8,mid,POINT(-12979376.668927394 3736786.63505639)
FAE,Vágar,8,mid,POINT(-809381.7536597336 8873977.812306616)
FAT,Fresno Yosemite Int'l,8,mid,POINT(-13327169.58511052 4407070.049111948)
FLG,Flagstaff Pulliam,8,mid,POINT(-12431565.859544765 4182774.746162051)
FRS,Mundo Maya Int'l,8,mid,POINT(-10005155.429448588 1910929.774595442)
FSD,Sioux Falls Reg.,8,mid,POINT(-10768088.310616335 5400704.342583571)
GEG,Spokane Int'l,8,major,POINT(-13084140.802946268 6044772.376338353)
GGT,Exuma Int'l,8,mid,POINT(-8446100.653811105 2700354.6779349237)
GIB,Gibraltar,8,mid,POINT(-595199.9142010021 4321456.558557268)
GRR,Gerald R. Ford Int'l,8,mid,POINT(-9521108.537199756 5294450.235274964)
GSO,Triad Int'l,8,major,POINT(-8898489.001675807 4315130.954430402)
GTF,Great Falls Int'l,8,mid,POINT(-12396169.440330252 6021151.295119785)
GZT,Gaziantep Oğuzeli Int'l,8,major,POINT(4171564.69612111 4431493.875868084)
HBX,Hubli,8,mid,POINT(8358570.414575938 1730629.8095922712)
HDY,Hat Yai Int'l,8,mid,POINT(11175781.270722937 774043.1418880608)
HFE,Hefei-Luogang,8,mid,POINT(13058243.479722492 3734448.089605577)
HRG,Hurghada Int'l,8,major,POINT(3763395.907768361 3146031.7460181173)
HRK,Kharkov Int'l,8,major,POINT(4038916.1487897974 6432698.341696475)
HSV,Huntsville Int'l,8,major,POINT(-9659742.474646779 4116193.303177003)
IBA,Ibadan,8,mid,POINT(442362.8778862212 821612.6447678236)
ICT,Kansas City Int'l,8,major,POINT(-10845717.58832889 4530511.531807453)
ILM,Wilmington Int'l,8,mid,POINT(-8672943.345543798 4064681.1100209253)
ILR,Ilorin Int'l,8,mid,POINT(500363.34321139066 942432.5693217871)
INL,Falls Int'l,8,mid,POINT(-10397018.107826466 6201537.80542095)
INV,Inverness,8,mid,POINT(-452356.9650553498 7871196.74278086)
IPL,Imperial Cty.,8,mid,POINT(-12865415.696434157 3873285.4354750603)
IXJ,Jammu,8,mid,POINT(8331407.590069867 3853043.8659432284)
IXM,Madurai,8,mid,POINT(8693065.883907339 1100490.6215684628)
JLR,Jabalpur,8,mid,POINT(8912098.603220006 2654350.0740737827)
JRO,Kilimanjaro Int'l,8,mid,POINT(4126078.033182307 -381434.62997014524)
KAD,Kaduna,8,mid,POINT(815443.4866656137 1197493.468809646)
KGA,Kananga,8,mid,POINT(2502276.6110788053 -657967.4512964803)
KMS,Kumasi,8,mid,POINT(-177284.66764144658 749183.4082690945)
KNA,Viña del Mar,8,mid,POINT(-7957184.275847894 -3888455.835146245)
KNU,Kanpur,8,mid,POINT(8946472.94752109 3053534.6493105646)
KOA,Kona Int'l at Keahole,8,mid,POINT(-17370392.35884766 2241912.5796443797)
