id:integer,color:text,hex_code:keyword,rgb_vector:dense_vector,rgb_byte_vector:dense_vector,primary:boolean
0,maroon, #800000, [128,0,0], [0, -128, -128], false
1,brown, #A52A2A, [165,42,42], [37, -86, -86], false
2,firebrick, #B22222, [178,34,34], [50, -94, -94], false
3,crimson, #DC143C, [220,20,60], [92, -108, -68], false
4,red, #FF0000, [255,0,0], [127, -128, -128], true
5,tomato, #FF6347, [255,99,71], [127, -29, -57], false
6,coral, #FF7F50, [255,127,80], [127, -1, -48], false
7,salmon, #FA8072, [250,128,114], [122, 0, -14], false
8,orange, #FFA500, [255,165,0], [127, 37, -128], false
9,gold, #FFD700, [255,215,0], [127, 87, -128], false
10,golden rod, #DAA520, [218,165,32], [90, 37, -96], false
11,khaki, #F0E68C, [240,230,140], [112, 102, 12], false
12,olive, #808000, [128,128,0], [0, 0, -128], false
13,yellow, #FFFF00, [255,255,0], [127, 127, -128], true
14,chartreuse, #7FFF00, [127,255,0], [-1, 127, -128], false
15,green, #008000, [0,128,0], [-128, 0, -128], true
16,lime, #00FF00, [0,255,0], [-128, 127, -128], false
17,teal, #008080, [0,128,128], [0, 0, -128], false
18,cyan, #00FFFF, [0,255,255], [127, 127, -128], true
19,turquoise, #40E0D0, [64,224,208], [-64, 96, 80], false
20,aqua marine, #7FFFD4, [127,255,212], [-1, 127, 84], false
21,navy, #000080, [0,0,128], [-128, -128, 0], false
22,blue, #0000FF, [0,0,255], [-128, -128, 127], true
23,indigo, #4B0082, [75,0,130], [-53, -128, 2], false
24,purple, #800080, [128,0,128], [0, -128, 0], false
25,thistle, #D8BFD8, [216,191,216], [88, 63, 88], false
26,plum, #DDA0DD, [221,160,221], [93, 32, 93], false
27,violet, #EE82EE, [238,130,238], [110, 2, 110], false
28,magenta, #FF00FF, [255,0,255], [127, -128, 127], true
29,orchid, #DA70D6, [218,112,214], [90, -16, 86], false
30,pink, #FFC0CB, [255,192,203], [127, 64, 75], false
31,beige, #F5F5DC, [245,245,220], [117, 117, 92], false
32,bisque, #FFE4C4, [255,228,196], [127, 100, 68], false
33,wheat, #F5DEB3, [245,222,179], [117, 94, 51], false
34,corn silk, #FFF8DC, [255,248,220], [127, 120, 92], false
35,lemon chiffon, #FFFACD, [255,250,205], [127, 122, 77], false
36,sienna, #A0522D, [160,82,45], [32, -46, -83], false
37,chocolate, #D2691E, [210,105,30], [82, -23, -98], false
38,peru, #CD853F, [205,133,63], [77, 5, -65], false
39,burly wood, #DEB887, [222,184,135], [94, 56, 7], false
40,tan, #D2B48C, [210,180,140], [82, 52, 12], false
41,moccasin, #FFE4B5, [255,228,181], [127, 100, 53], false
42,peach puff, #FFDAB9, [255,218,185], [127, 90, 57], false
43,misty rose, #FFE4E1, [255,228,225], [127, 100, 97], false
44,linen, #FAF0E6, [250,240,230], [122, 112, 102], false
45,old lace, #FDF5E6, [253,245,230], [125, 117, 102], false
46,papaya whip, #FFEFD5, [255,239,213], [127, 111, 85], false
47,sea shell, #FFF5EE, [255,245,238], [127, 117, 110], false
48,mint cream, #F5FFFA, [245,255,250], [117, 127, 122], false
49,lavender, #E6E6FA, [230,230,250], [102, 102, 122], false
50,honeydew, #F0FFF0, [240,255,240], [112, 127, 112], false
51,ivory, #FFFFF0, [255,255,240], [127, 127, 112], false
52,azure, #F0FFFF, [240,255,255], [112, 127, 127], false
53,snow, #FFFAFA, [255,250,250], [127, 122, 122], false
54,black, #000000, [0,0,0], [-128, -128, -128], true
55,gray, #808080, [128,128,128], [0, 0, 0], true
56,silver, #C0C0C0, [192,192,192], [64, 64, 64], false
57,gainsboro, #DCDCDC, [220,220,220], [92, 92, 92], false
58,white, #FFFFFF, [255,255,255], [127, 127, 127], true
