_id:keyword,@timestamp:date,serial_event_id:long,event_type:keyword,event_type_full:keyword,event_subtype_full:keyword,subtype:keyword,opcode:long,pid:long,ppid:long,unique_pid:long,unique_ppid:long,process_name:keyword,parent_process_name:keyword,user_name:keyword,user_domain:keyword,exit_code:long
1,0,1,process,process_event,already_running,create,3,0,,1,,System Idle Process,,,,
2,1504126051000,2,process,process_event,already_running,create,3,4,,2,1,System,System Idle Process,SYSTEM,NT AUTHORITY,
3,1504126051000,3,process,process_event,already_running,create,3,284,4,3,2,smss.exe,System,SYSTEM,NT AUTHORITY,
4,1504126051000,4,process,process_event,already_running,create,3,372,364,4,0,csrss.exe,,SYSTEM,NT AUTHORITY,
5,1504126051000,5,process,process_event,already_running,create,3,424,364,5,0,wininit.exe,,SYSTEM,NT AUTHORITY,
6,1504126051000,6,process,process_event,already_running,create,3,436,416,6,0,csrss.exe,,SYSTEM,NT AUTHORITY,
7,1504126051000,7,process,process_event,already_running,create,3,472,416,7,0,winlogon.exe,,SYSTEM,NT AUTHORITY,
8,1504126052000,8,process,process_event,already_running,create,3,524,424,8,5,services.exe,wininit.exe,SYSTEM,NT AUTHORITY,
9,1504126052000,9,process,process_event,already_running,create,3,536,424,9,5,lsass.exe,wininit.exe,SYSTEM,NT AUTHORITY,
10,1504126052000,10,process,process_event,already_running,create,3,544,424,10,5,lsm.exe,wininit.exe,SYSTEM,NT AUTHORITY,
11,1504126052000,11,process,process_event,already_running,create,3,648,524,11,8,svchost.exe,services.exe,SYSTEM,NT AUTHORITY,
12,1504126052000,12,process,process_event,already_running,create,3,708,524,12,8,vmacthlp.exe,services.exe,SYSTEM,NT AUTHORITY,
13,1504126052000,13,process,process_event,already_running,create,3,752,524,13,8,svchost.exe,services.exe,NETWORK SERVICE,NT AUTHORITY,
14,1504126052000,14,process,process_event,already_running,create,3,828,472,14,7,LogonUI.exe,winlogon.exe,SYSTEM,NT AUTHORITY,
15,1504126052000,15,process,process_event,already_running,create,3,848,524,15,8,svchost.exe,services.exe,LOCAL SERVICE,NT AUTHORITY,
16,1504126052000,16,process,process_event,already_running,create,3,896,524,16,8,svchost.exe,services.exe,SYSTEM,NT AUTHORITY,
17,1504126052000,17,process,process_event,already_running,create,3,924,524,17,8,svchost.exe,services.exe,SYSTEM,NT AUTHORITY,
18,1504126053000,18,process,process_event,already_running,create,3,264,524,18,8,svchost.exe,services.exe,LOCAL SERVICE,NT AUTHORITY,
19,1504126053000,19,process,process_event,already_running,create,3,968,524,19,8,svchost.exe,services.exe,NETWORK SERVICE,NT AUTHORITY,
20,1504126053000,20,process,process_event,already_running,create,3,1108,524,20,8,spoolsv.exe,services.exe,SYSTEM,NT AUTHORITY,
21,1504126053000,21,process,process_event,already_running,create,3,1136,524,21,8,svchost.exe,services.exe,LOCAL SERVICE,NT AUTHORITY,
22,1504126053000,22,process,process_event,already_running,create,3,1320,524,22,8,VGAuthService.exe,services.exe,SYSTEM,NT AUTHORITY,
23,1504126053000,23,process,process_event,already_running,create,3,1344,524,23,8,vmtoolsd.exe,services.exe,SYSTEM,NT AUTHORITY,
24,1504126053000,24,process,process_event,already_running,create,3,1376,524,24,8,ManagementAgentHost.exe,services.exe,SYSTEM,NT AUTHORITY,
25,1504126054000,25,process,process_event,already_running,create,3,1692,524,25,8,svchost.exe,services.exe,NETWORK SERVICE,NT AUTHORITY,
26,1504126054000,26,process,process_event,already_running,create,3,1840,648,26,11,WmiPrvSE.exe,svchost.exe,NETWORK SERVICE,NT AUTHORITY,
27,1504126055000,27,process,process_event,already_running,create,3,960,524,27,8,msdtc.exe,services.exe,NETWORK SERVICE,NT AUTHORITY,
28,1504126079000,28,process,process_event,already_running,create,3,3048,3040,28,0,csrss.exe,,SYSTEM,NT AUTHORITY,
29,1504126079000,29,process,process_event,already_running,create,3,2108,3040,29,0,winlogon.exe,,SYSTEM,NT AUTHORITY,
30,1504126081000,30,process,process_event,already_running,create,3,2704,968,30,19,rdpclip.exe,svchost.exe,vagrant,vagrant,
31,1504126081000,31,process,process_event,already_running,create,3,2776,524,31,8,taskhost.exe,services.exe,vagrant,vagrant,
32,1504126081000,32,process,process_event,already_running,create,3,2804,524,32,8,sppsvc.exe,services.exe,NETWORK SERVICE,NT AUTHORITY,
33,1504126115000,33,process,process_event,already_running,create,3,2464,896,33,16,dwm.exe,svchost.exe,vagrant,vagrant,
34,1504126115000,34,process,process_event,already_running,create,3,2460,3052,34,0,explorer.exe,,vagrant,vagrant,
35,1504126115000,35,process,process_event,already_running,create,3,2604,2460,35,34,vmtoolsd.exe,explorer.exe,vagrant,vagrant,
36,1504126121000,36,process,process_event,already_running,create,3,1620,524,36,8,SearchIndexer.exe,services.exe,SYSTEM,NT AUTHORITY,
37,1504126175000,37,process,process_event,already_running,create,3,3684,524,37,8,svchost.exe,services.exe,LOCAL SERVICE,NT AUTHORITY,
38,1504126175000,38,process,process_event,already_running,create,3,3712,524,38,8,svchost.exe,services.exe,SYSTEM,NT AUTHORITY,
39,1504710219000,39,process,process_event,already_running,create,3,2864,2460,39,34,cmd.exe,explorer.exe,vagrant,vagrant,
40,1504710219000,40,process,process_event,already_running,create,3,2228,3048,40,28,conhost.exe,csrss.exe,vagrant,vagrant,
41,1504720431000,41,process,process_event,already_running,create,3,3820,524,41,8,svchost.exe,services.exe,SYSTEM,NT AUTHORITY,
42,1506463013000,42,process,process_event,already_running,create,3,3384,524,42,8,TrustedInstaller.exe,services.exe,SYSTEM,NT AUTHORITY,
43,1506463023000,43,process,process_event,already_running,create,3,1860,648,43,11,WmiPrvSE.exe,svchost.exe,SYSTEM,NT AUTHORITY,
44,1506463590000,44,process,process_event,already_running,create,3,660,924,44,17,taskeng.exe,svchost.exe,vagrant,vagrant,
45,1506463637000,45,process,process_event,already_running,create,3,760,524,45,8,msiexec.exe,services.exe,SYSTEM,NT AUTHORITY,
46,1506463798000,46,process,process_event,already_running,create,3,2824,648,46,11,wsmprovhost.exe,svchost.exe,vagrant,vagrant,
47,1506463802000,47,process,process_event,already_running,create,3,3408,648,47,11,wsmprovhost.exe,svchost.exe,vagrant,vagrant,
48,1506463802000,48,process,process_event,already_running,create,3,420,3408,48,47,python.exe,wsmprovhost.exe,vagrant,vagrant,
49,1506463802000,49,process,process_event,already_running,create,3,3080,372,49,4,conhost.exe,csrss.exe,vagrant,vagrant,
50,1506463810000,50,process,process_event,already_running,create,3,1688,420,50,48,python.exe,python.exe,vagrant,vagrant,
51,1506463810000,51,process,process_event,already_running,create,3,1720,420,51,48,python.exe,python.exe,vagrant,vagrant,
52,1506463815000,52,process,process_event,already_running,create,3,2164,648,52,11,LauncherProcess.exe,svchost.exe,SYSTEM,NT AUTHORITY,
53,1506463829420,53,process,process_event,creation_event,create,1,1788,420,53,48,cmd.exe,python.exe,vagrant,vagrant,
54,1506463829436,54,process,process_event,creation_event,create,1,2256,1788,54,53,python.exe,cmd.exe,vagrant,vagrant,
55,1506463829545,55,file,file_event,file_create_event,create,0,2256,,54,,python.exe,,vagrant,vagrant,
56,1506463829561,56,process,process_event,creation_event,create,1,2760,2256,56,54,svchost.exe,python.exe,vagrant,vagrant,
57,1506463830606,57,registry,registry_event,registry_modify_event,,1,2460,,34,,explorer.exe,,vagrant,,
58,1506463834568,58,process,process_event,termination_event,terminate,2,2760,2256,56,54,svchost.exe,python.exe,vagrant,vagrant,0
59,1506463834568,59,file,file_event,file_delete_event,modify,2,2256,,54,,python.exe,,vagrant,vagrant,
60,1506463834568,60,file,file_event,file_create_event,create,0,896,,16,,svchost.exe,,SYSTEM,NT AUTHORITY,
61,1506463834568,61,file,file_event,file_create_event,create,0,2256,,54,,python.exe,,vagrant,vagrant,
62,1506463834568,62,process,process_event,creation_event,create,1,3696,2256,62,54,lsass.exe,python.exe,vagrant,vagrant,
63,1506463835036,63,dns,dns_event,request_event,,3008,924,,17,,svchost.exe,,SYSTEM,NT AUTHORITY,
64,1506463839592,64,process,process_event,termination_event,terminate,2,3696,2256,62,54,lsass.exe,python.exe,vagrant,vagrant,0
65,1506463839592,65,file,file_event,file_delete_event,modify,2,2256,,54,,python.exe,,vagrant,vagrant,
66,1506463839592,66,file,file_event,file_create_event,create,0,896,,16,,svchost.exe,,SYSTEM,NT AUTHORITY,
67,1506463839592,67,file,file_event,file_create_event,create,0,2256,,54,,python.exe,,vagrant,vagrant,
68,1506463839592,68,process,process_event,creation_event,create,1,1832,2256,68,54,services.exe,python.exe,vagrant,vagrant,
69,1506463844677,69,process,process_event,termination_event,terminate,2,1832,2256,68,54,services.exe,python.exe,vagrant,vagrant,0
70,1506463844677,70,file,file_event,file_delete_event,modify,2,2256,,54,,python.exe,,vagrant,vagrant,
71,1506463844677,71,file,file_event,file_create_event,create,0,896,,16,,svchost.exe,,SYSTEM,NT AUTHORITY,
72,1506463844677,72,file,file_event,file_create_event,create,0,2256,,54,,python.exe,,vagrant,vagrant,
73,1506463844677,73,process,process_event,creation_event,create,1,3948,2256,73,54,csrss.exe,python.exe,vagrant,vagrant,
74,1506463849701,74,process,process_event,termination_event,terminate,2,3948,2256,73,54,csrss.exe,python.exe,vagrant,vagrant,0
75,1506463849701,75,file,file_event,file_delete_event,modify,2,2256,,54,,python.exe,,vagrant,vagrant,
76,1506463849701,76,file,file_event,file_create_event,create,0,2256,,54,,python.exe,,vagrant,vagrant,
77,1506463849701,77,file,file_event,file_create_event,create,0,896,,16,,svchost.exe,,SYSTEM,NT AUTHORITY,
78,1506463849701,78,process,process_event,creation_event,create,1,3720,2256,78,54,smss.exe,python.exe,vagrant,vagrant,
79,1506463852056,79,registry,registry_event,registry_modify_event,,1,536,,9,,lsass.exe,,SYSTEM,,
80,1506463854708,80,process,process_event,termination_event,terminate,2,3720,2256,78,54,smss.exe,python.exe,vagrant,vagrant,0
81,1506463854708,81,file,file_event,file_delete_event,modify,2,2256,,54,,python.exe,,vagrant,vagrant,
82,1506463854708,82,file,file_event,file_create_event,create,0,896,,16,,svchost.exe,,SYSTEM,NT AUTHORITY,
83,1506463854708,83,file,file_event,file_create_event,create,0,2256,,54,,python.exe,,vagrant,vagrant,
84,1506463854708,84,process,process_event,creation_event,create,1,1680,2256,84,54,wininit.exe,python.exe,vagrant,vagrant,
85,1506463859716,85,process,process_event,termination_event,terminate,2,1680,2256,84,54,wininit.exe,python.exe,vagrant,vagrant,0
86,1506463859716,86,file,file_event,file_delete_event,modify,2,2256,,54,,python.exe,,vagrant,vagrant,
87,1506463859716,87,file,file_event,file_create_event,create,0,896,,16,,svchost.exe,,SYSTEM,NT AUTHORITY,
88,1506463859716,88,file,file_event,file_create_event,create,0,2256,,54,,python.exe,,vagrant,vagrant,
89,1506463859716,89,process,process_event,creation_event,create,1,4080,2256,89,54,explorer.exe,python.exe,vagrant,vagrant,
90,1506463864723,90,process,process_event,termination_event,terminate,2,4080,2256,89,54,explorer.exe,python.exe,vagrant,vagrant,0
91,1506463864723,91,file,file_event,file_delete_event,modify,2,2256,,54,,python.exe,,vagrant,vagrant,
92,1506463864723,92,file,file_event,file_create_event,create,0,896,,16,,svchost.exe,,SYSTEM,NT AUTHORITY,
93,1506463864723,93,process,process_event,termination_event,terminate,2,2256,1788,54,53,python.exe,cmd.exe,vagrant,vagrant,0
94,1506463864723,94,process,process_event,termination_event,terminate,2,1788,420,53,48,cmd.exe,python.exe,vagrant,vagrant,0
95,1506463864723,95,file,file_event,file_create_event,create,0,420,,48,,python.exe,,vagrant,vagrant,
96,1506463864723,96,file,file_event,file_create_event,create,0,420,,48,,python.exe,,vagrant,vagrant,
97,1516116808349,97,process,process_event,creation_event,create,1,3608,392,750058,707545,net.exe,cmd.exe,vagrant,vagrant,
98,1516116808380,98,process,process_event,creation_event,create,1,1348,3608,750059,750058,net1.exe,net.exe,vagrant,vagrant,
75273,1531764548450,75273,process,process_event,creation_event,create,1,860,1196,75273,75248,MSBuild.exe,python.exe,vagrant,vagrant,
75303,1531764549348,75303,process,process_event,termination_event,terminate,2,860,1196,75273,75248,MSBuild.exe,python.exe,vagrant,vagrant,0
75304,1531764549303,75304,network,network_event,ipv4_connection_attempt_event,outgoing,12,860,,75273,,MSBuild.exe,,vagrant,vagrant,
75305,1531764549303,75305,network,network_event,ipv4_connection_attempt_event,outgoing,12,10000,,99999,,MSBuild.exe,,vagrant,vagrant,
