host_name:keyword,info:json
equal-host,{"team": "dev"\, "tier": "dev"}
devops-ci-master-blue.c.elastic-ci-prod.internal,{"team": "devops"\, "tier": "prod"}
elasticsearch-ci-immutable-debian-9-pkg-1599049660880335683,{"team": "ci"\, "tier": "prod"}
elasticsearch-ci-immutable-sles-15-1599243844262984968,{"team": "ci"\, "tier": "prod"}
filebeat-6t7v6,{"team": "monitoring"\, "tier": "staging"}
filebeat-8pmfj,{"team": "monitoring"\, "tier": "staging"}
infra-filebeat-6vjxr,{"team": "infra"\, "tier": "prod"}
infra-filebeat-cpcmv,{"team": "infra"\, "tier": "prod"}
infra-filebeat-mdvqm,{"team": "infra"\, "tier": "prod"}
infra-filebeat-z5mjq,{"team": "infra"\, "tier": "prod"}
web-frontend-01,{"team": "web"\, "tier": "prod"}
web-frontend-02,{"team": "web"\, "tier": "prod"}
db-primary-01,{"team": "database"\, "tier": "prod"}
db-replica-01,{"team": "database"\, "tier": "prod"}
cache-01,{"team": "infra"\, "tier": "prod"}
cache-02,{"team": "infra"\, "tier": "prod"}
build-agent-01,{"team": "ci"\, "tier": "staging"}
build-agent-02,{"team": "ci"\, "tier": "staging"}
staging-app-01,{"team": "app"\, "tier": "staging"}
dev-workstation-01,{"team": "dev"\, "tier": "dev"}
