@timestamp:date,network.total_bytes_in:counter_long,cluster:keyword,temporality:keyword
2024-05-10T00:00:00Z,78,prod-null,
2024-05-10T00:00:00Z,78,prod-cumulative,cumulative
2024-05-10T00:00:00Z,0,prod-delta,delta
2024-05-10T00:00:15.683Z,84,prod-null,
2024-05-10T00:00:15.683Z,84,prod-cumulative,cumulative
2024-05-10T00:00:15.683Z,6,prod-delta,delta
2024-05-10T00:00:29.993Z,85,prod-null,
2024-05-10T00:00:29.993Z,85,prod-cumulative,cumulative
2024-05-10T00:00:29.993Z,1,prod-delta,delta
2024-05-10T00:00:45.682Z,87,prod-null,
2024-05-10T00:00:45.682Z,87,prod-cumulative,cumulative
2024-05-10T00:00:45.682Z,2,prod-delta,delta
2024-05-10T00:01:01.312Z,94,prod-null,
2024-05-10T00:01:01.312Z,94,prod-cumulative,cumulative
2024-05-10T00:01:01.312Z,7,prod-delta,delta
2024-05-10T00:01:16.556Z,99,prod-null,
2024-05-10T00:01:16.556Z,99,prod-cumulative,cumulative
2024-05-10T00:01:16.556Z,5,prod-delta,delta
2024-05-10T00:01:30.686Z,101,prod-null,
2024-05-10T00:01:30.686Z,101,prod-cumulative,cumulative
2024-05-10T00:01:30.686Z,2,prod-delta,delta
2024-05-10T00:01:45.986Z,104,prod-null,
2024-05-10T00:01:45.986Z,104,prod-cumulative,cumulative
2024-05-10T00:01:45.986Z,3,prod-delta,delta
2024-05-10T00:02:01.652Z,20,prod-null,
2024-05-10T00:02:01.652Z,20,prod-cumulative,cumulative
2024-05-10T00:02:01.652Z,20,prod-delta,delta
2024-05-10T00:02:16.810Z,21,prod-null,
2024-05-10T00:02:16.810Z,21,prod-cumulative,cumulative
2024-05-10T00:02:16.810Z,1,prod-delta,delta
2024-05-10T00:02:31.428Z,22,prod-null,
2024-05-10T00:02:31.428Z,22,prod-cumulative,cumulative
2024-05-10T00:02:31.428Z,1,prod-delta,delta
2024-05-10T00:02:45.828Z,30,prod-null,
2024-05-10T00:02:45.828Z,30,prod-cumulative,cumulative
2024-05-10T00:02:45.828Z,8,prod-delta,delta
2024-05-10T00:03:01.412Z,38,prod-null,
2024-05-10T00:03:01.412Z,38,prod-cumulative,cumulative
2024-05-10T00:03:01.412Z,8,prod-delta,delta
2024-05-10T00:03:16.024Z,39,prod-null,
2024-05-10T00:03:16.024Z,39,prod-cumulative,cumulative
2024-05-10T00:03:16.024Z,1,prod-delta,delta
2024-05-10T00:03:30.692Z,40,prod-null,
2024-05-10T00:03:30.692Z,40,prod-cumulative,cumulative
2024-05-10T00:03:30.692Z,1,prod-delta,delta
2024-05-10T00:03:44.862Z,47,prod-null,
2024-05-10T00:03:44.862Z,47,prod-cumulative,cumulative
2024-05-10T00:03:44.862Z,7,prod-delta,delta
2024-05-10T00:04:00.568Z,53,prod-null,
2024-05-10T00:04:00.568Z,53,prod-cumulative,cumulative
