id_int,name_str,is_active_bool,ip_addr,extra1,extra2
1,Alice,true,192.168.1.1,foo,100
2,Bob,false,192.168.1.2,bar,200
3,Charlie,true,192.168.1.3,baz,300
4,David,false,192.168.1.4,qux,400
5,Eve,true,192.168.1.5,quux,500
6,,true,192.168.1.6,corge,600
7,Grace,false,,grault,700
8,Hank,true,192.168.1.8,garply,800
9,Ivy,false,192.168.1.9,waldo,900
10,John,true,192.168.1.10,fred,1000
,Kate,false,192.168.1.11,plugh,1100
[12],Liam,true,192.168.1.12,xyzzy,1200
13,Mia,false,192.168.1.13,thud,1300
[14],Nina,true,192.168.1.14,foo2,1400
15,Oscar,false,192.168.1.15,bar2,1500
[17,18],Olivia,true,192.168.1.17,xyz,17000
[1,19,21],Sophia,true,192.168.1.21,zyx,21000
