id_int,name_str,is_active_bool,ip_addr,date,date_nanos,other1,other2
1,Alice,true,192.168.1.1,1980-02-29T23:59:59.999,1980-02-29T23:59:59.999999999,alpha,1000
1,Alice,true,192.168.1.2,1999-05-02T00:00:01.000,1999-05-02T00:00:01.000000001,beta,2000
2,Bob,false,192.168.1.3,2001-05-02T00:00:02.000,2001-05-02T00:00:02.000000002,gamma,3000
3,Charlie,true,192.168.1.3,2003-05-02T00:00:03.123,2003-05-02T00:00:03.123456789,delta,4000
3,Charlie,false,192.168.1.3,2005-05-02T00:00:04.000,2005-05-02T00:00:04.000000000,epsilon,5000
4,David,false,192.168.1.4,2007-05-02T00:00:05.000,2007-05-02T00:00:05.000000500,zeta,6000
5,Eve,true,192.168.1.5,2009-05-02T00:00:06.987,2009-05-02T00:00:06.987654321,eta,7000
5,Eve,true,192.168.1.5,2011-05-02T00:00:07.000,2011-05-02T00:00:07.000000000,theta,8000
6,,true,192.168.1.6,2013-05-02T00:00:08.000,2013-05-02T00:00:08.000000010,iota,9000
7,Grace,false,,2015-05-02T00:00:09.000,2015-05-02T00:00:09.000000000,kappa,10000
8,Hank,true,192.168.1.8,2016-05-02T00:00:10.314,2016-05-02T00:00:10.314159265,lambda,11000
,Kate,false,192.168.1.11,2018-05-02T00:00:11.000,2018-05-02T00:00:11.000000000,mu,12000
12,Liam,true,192.168.1.12,2020-05-02T00:00:12.000,2020-05-02T00:00:12.000000123,nu,13000
13,Mia,false,192.168.1.13,2022-05-02T00:00:13.000,2022-05-02T00:00:13.000000000,xi,14000
[14],Nina,true,192.168.1.14,2024-05-02T00:00:14.555,2024-05-02T00:00:14.555555555,omicron,15000
16,Paul,true,192.168.1.16,2026-05-02T00:00:15.000,2026-05-02T00:00:15.000000000,pi,16000
[17,18],Olivia,true,192.168.1.17,2028-05-02T00:00:16.000,2028-05-02T00:00:16.000000777,rho,17000
[1,19,20],Sophia,true,192.168.1.21,2030-05-02T00:00:17.000,2030-05-02T00:00:17.000000000,sigma,21000
