@timestamp:date,labels.job:keyword,labels.instance:keyword,labels.le:keyword,metrics.request_duration_seconds_bucket:double
2024-05-10T00:00:00.000Z,api,a,1,4
2024-05-10T00:00:00.000Z,api,a,2,10
2024-05-10T00:00:00.000Z,api,a,+Inf,15
2024-05-10T00:00:00.000Z,api,b,1,6
2024-05-10T00:00:00.000Z,api,b,2,10
2024-05-10T00:00:00.000Z,api,b,+Inf,15
2024-05-10T00:00:00.000Z,worker,a,1,1
2024-05-10T00:00:00.000Z,worker,a,2,3
2024-05-10T00:00:00.000Z,worker,a,+Inf,4
2024-05-10T00:00:00.000Z,worker,b,1,3
2024-05-10T00:00:00.000Z,worker,b,2,7
2024-05-10T00:00:00.000Z,worker,b,+Inf,8
2024-05-10T00:00:00.000Z,repair,r,1,2
2024-05-10T00:00:00.000Z,repair,r,2,1
2024-05-10T00:00:00.000Z,repair,r,3,5
2024-05-10T00:00:00.000Z,repair,r,+Inf,5
2024-05-10T00:00:00.000Z,malformed,a,1,4
2024-05-10T00:00:00.000Z,malformed,a,2,10
2024-05-10T00:00:00.000Z,malformed,a,+Inf,15
2024-05-10T00:00:00.000Z,malformed,a,bogus,999
2024-05-10T00:05:00.000Z,api,a,1,8
2024-05-10T00:05:00.000Z,api,a,2,20
2024-05-10T00:05:00.000Z,api,a,+Inf,30
2024-05-10T00:05:00.000Z,api,b,1,12
2024-05-10T00:05:00.000Z,api,b,2,20
2024-05-10T00:05:00.000Z,api,b,+Inf,30
2024-05-10T00:05:00.000Z,worker,a,1,2
2024-05-10T00:05:00.000Z,worker,a,2,6
2024-05-10T00:05:00.000Z,worker,a,+Inf,8
2024-05-10T00:05:00.000Z,worker,b,1,6
2024-05-10T00:05:00.000Z,worker,b,2,14
2024-05-10T00:05:00.000Z,worker,b,+Inf,16
2024-05-10T00:05:00.000Z,repair,r,1,4
2024-05-10T00:05:00.000Z,repair,r,2,2
2024-05-10T00:05:00.000Z,repair,r,3,10
2024-05-10T00:05:00.000Z,repair,r,+Inf,10
2024-05-10T00:06:00.000Z,api,a,1,8.8
2024-05-10T00:06:00.000Z,api,a,2,22
2024-05-10T00:06:00.000Z,api,a,+Inf,33
2024-05-10T00:06:00.000Z,api,b,1,13.2
2024-05-10T00:06:00.000Z,api,b,2,22
2024-05-10T00:06:00.000Z,api,b,+Inf,33
2024-05-10T00:06:00.000Z,worker,a,1,2.2
2024-05-10T00:06:00.000Z,worker,a,2,6.6
2024-05-10T00:06:00.000Z,worker,a,+Inf,8.8
2024-05-10T00:06:00.000Z,worker,b,1,6.6
2024-05-10T00:06:00.000Z,worker,b,2,15.4
2024-05-10T00:06:00.000Z,worker,b,+Inf,17.6
2024-05-10T00:06:00.000Z,repair,r,1,4.4
2024-05-10T00:06:00.000Z,repair,r,2,2.2
2024-05-10T00:06:00.000Z,repair,r,3,11
2024-05-10T00:06:00.000Z,repair,r,+Inf,11
2024-05-10T00:07:00.000Z,api,a,1,9.6
2024-05-10T00:07:00.000Z,api,a,2,24
2024-05-10T00:07:00.000Z,api,a,+Inf,36
2024-05-10T00:07:00.000Z,api,b,1,14.4
2024-05-10T00:07:00.000Z,api,b,2,24
2024-05-10T00:07:00.000Z,api,b,+Inf,36
