@timestamp:date,dim:keyword,val:long,counter_val:counter_long
2024-01-01T00:00:00.000Z,a,1,1
2024-01-01T00:00:00.000Z,b,10,10
2024-01-01T00:01:00.000Z,a,2,3
2024-01-01T00:01:00.000Z,b,20,30
2024-01-01T00:02:00.000Z,a,3,6
2024-01-01T00:02:00.000Z,b,30,60
2024-01-01T00:03:00.000Z,a,4,10
2024-01-01T00:03:00.000Z,b,40,100
2024-01-01T00:04:00.000Z,a,5,15
2024-01-01T00:04:00.000Z,b,50,150
2024-01-01T00:05:00.000Z,a,6,21
2024-01-01T00:05:00.000Z,b,60,210
2024-01-01T00:06:00.000Z,a,7,28
2024-01-01T00:06:00.000Z,b,70,280
2024-01-01T00:07:00.000Z,a,8,36
2024-01-01T00:07:00.000Z,b,80,360
2024-01-01T00:08:00.000Z,a,9,45
2024-01-01T00:08:00.000Z,b,90,450
2024-01-01T00:09:00.000Z,a,10,55
2024-01-01T00:09:00.000Z,b,100,550
2024-01-01T00:10:00.000Z,a,11,66
2024-01-01T00:10:00.000Z,b,110,660
2024-01-01T00:11:00.000Z,a,12,78
2024-01-01T00:11:00.000Z,b,120,780
2024-01-01T00:12:00.000Z,a,13,91
2024-01-01T00:12:00.000Z,b,130,910
2024-01-01T00:13:00.000Z,a,14,105
2024-01-01T00:13:00.000Z,b,140,1050
2024-01-01T00:14:00.000Z,a,15,120
2024-01-01T00:14:00.000Z,b,150,1200
2024-01-01T00:15:00.000Z,a,16,136
2024-01-01T00:15:00.000Z,b,160,1360
2024-01-01T00:16:00.000Z,a,17,153
2024-01-01T00:16:00.000Z,b,170,1530
2024-01-01T00:17:00.000Z,a,18,171
2024-01-01T00:17:00.000Z,b,180,1710
2024-01-01T00:18:00.000Z,a,19,190
2024-01-01T00:18:00.000Z,b,190,1900
2024-01-01T00:19:00.000Z,a,20,210
2024-01-01T00:19:00.000Z,b,200,2100
2024-01-01T00:20:00.000Z,a,21,231
2024-01-01T00:20:00.000Z,b,210,2310
2024-01-01T00:21:00.000Z,a,22,253
2024-01-01T00:21:00.000Z,b,220,2530
2024-01-01T00:22:00.000Z,a,23,276
2024-01-01T00:22:00.000Z,b,230,2760
2024-01-01T00:23:00.000Z,a,24,300
2024-01-01T00:23:00.000Z,b,240,3000
2024-01-01T00:24:00.000Z,a,25,325
2024-01-01T00:24:00.000Z,b,250,3250
2024-01-01T00:25:00.000Z,a,26,351
2024-01-01T00:25:00.000Z,b,260,3510
2024-01-01T00:26:00.000Z,a,27,378
2024-01-01T00:26:00.000Z,b,270,3780
2024-01-01T00:27:00.000Z,a,28,406
2024-01-01T00:27:00.000Z,b,280,4060
2024-01-01T00:28:00.000Z,a,29,435
2024-01-01T00:28:00.000Z,b,290,4350
2024-01-01T00:29:00.000Z,a,30,465
2024-01-01T00:29:00.000Z,b,300,4650
