host:keyword,host_group:text,description:text,card:keyword,ip0:ip,ip1:ip
alpha,DB servers,alpha db server,eth0,127.0.0.1,127.0.0.1
alpha,DB servers,alpha db server,eth1,::1,::1
beta,Kubernetes cluster,beta k8s server,eth0,127.0.0.1,::1
beta,Kubernetes cluster,beta k8s server,eth1,127.0.0.1,127.0.0.2
beta,Kubernetes cluster,[beta k8s server, beta k8s server2],eth1,127.0.0.1,128.0.0.1
gamma,Kubernetes cluster 2,gamma k8s server,lo0,fe80::cae2:65ff:fece:feb9,fe81::cae2:65ff:fece:feb9
gamma,Kubernetes cluster 2,gamma k8s server,eth0,fe80::cae2:65ff:fece:feb9,127.0.0.3
epsilon,,epsilon gw instance,eth0,[fe80::cae2:65ff:fece:feb9, fe80::cae2:65ff:fece:fec0, fe80::cae2:65ff:fece:fec1],fe80::cae2:65ff:fece:fec1
epsilon,Gateway instances,,eth1,,[127.0.0.1, 127.0.0.2, 127.0.0.3]
epsilon,Gateway instances,[epsilon host, epsilon2 host],eth2,[fe81::cae2:65ff:fece:feb9, fe82::cae2:65ff:fece:fec0],[fe81::cae2:65ff:fece:feb9, fe82::cae2:65ff:fece:fec0]
