@timestamp:date,cluster:keyword,pod:keyword,client.ip:ip,network.bytes_in:long,network.total_bytes_in:counter_long,network.cost:double,network.total_cost:counter_double
2024-05-10T00:00:29.000Z,staging,two,10.10.20.34,699,953,9.375,11.25
2024-05-10T00:00:33.000Z,staging,three,10.10.20.34,473,1111,1.25,9.125
2024-05-10T00:00:51.000Z,prod,three,10.10.20.30,113,278,9.25,17.375
2024-05-10T00:00:57.000Z,prod,three,10.10.20.30,677,955,12.125,29.5
2024-05-10T00:01:25.000Z,qa,one,10.10.20.31,278,449,5.375,9.0
2024-05-10T00:01:29.000Z,qa,two,10.10.20.33,799,1226,12.375,13.875
2024-05-10T00:01:29.000Z,prod,three,10.10.20.31,903,1858,7.625,7.625
2024-05-10T00:01:33.000Z,prod,one,10.10.20.31,354,354,6.0,9.875
2024-05-10T00:02:05.000Z,qa,two,10.10.20.30,913,2139,5.875,19.75
2024-05-10T00:02:05.000Z,prod,three,10.10.20.32,369,2227,6.75,6.75
2024-05-10T00:02:35.000Z,qa,three,10.10.20.34,585,1441,4.0,7.875
2024-05-10T00:02:40.000Z,staging,three,10.10.20.35,178,1289,2.25,11.375
2024-05-10T00:02:40.000Z,staging,two,10.10.20.30,723,1676,11.25,22.5
2024-05-10T00:02:43.000Z,prod,two,10.10.20.35,807,1395,2.375,5.25
2024-05-10T00:02:43.000Z,staging,two,10.10.20.34,587,2263,5.125,5.125
2024-05-10T00:02:53.000Z,prod,two,10.10.20.35,855,2250,9.625,14.875
2024-05-10T00:03:13.000Z,staging,one,10.10.20.33,626,1103,9.25,16.875
2024-05-10T00:03:26.000Z,staging,one,10.10.20.34,658,1761,2.5,19.375
2024-05-10T00:03:26.000Z,prod,one,10.10.20.33,970,1324,8.375,18.25
2024-05-10T00:03:26.000Z,qa,three,10.10.20.32,277,1718,8.125,16.0
2024-05-10T00:03:26.000Z,staging,two,10.10.20.32,888,3151,12.125,17.25
2024-05-10T00:03:40.000Z,staging,two,10.10.20.33,567,3718,1.25,18.5
2024-05-10T00:03:53.000Z,qa,three,10.10.20.34,61,1779,11.375,27.375
2024-05-10T00:03:53.000Z,qa,two,10.10.20.35,685,2824,1.125,20.875
2024-05-10T00:04:21.000Z,qa,two,10.10.20.30,56,2880,9.875,30.75
2024-05-10T00:04:23.000Z,qa,two,10.10.20.32,166,3046,7.625,38.375
2024-05-10T00:04:49.000Z,qa,two,10.10.20.35,978,4024,10.375,10.375
2024-05-10T00:04:49.000Z,prod,one,10.10.20.34,3,1327,5.625,23.875
2024-05-10T00:04:49.000Z,qa,one,10.10.20.32,576,1025,11.0,20.0
2024-05-10T00:05:06.000Z,prod,one,10.10.20.31,485,1812,8.25,8.25
2024-05-10T00:05:06.000Z,qa,one,10.10.20.34,839,1864,3.875,23.875
2024-05-10T00:05:16.000Z,prod,one,10.10.20.35,3,1815,2.75,11.0
2024-05-10T00:05:17.000Z,qa,two,10.10.20.31,873,4897,3.5,13.875
2024-05-10T00:05:17.000Z,qa,three,10.10.20.35,28,1807,2.5,29.875
2024-05-10T00:05:39.000Z,qa,two,10.10.20.31,617,5514,9.75,23.625
2024-05-10T00:05:39.000Z,prod,three,10.10.20.35,271,2498,11.5,18.25
2024-05-10T00:05:58.000Z,qa,two,10.10.20.30,3,5517,8.0,31.625
2024-05-10T00:06:07.000Z,staging,three,10.10.20.34,204,1493,2.875,2.875
2024-05-10T00:06:07.000Z,qa,three,10.10.20.31,400,2207,8.125,38.0
2024-05-10T00:06:07.000Z,staging,two,10.10.20.32,3,3,2.75,21.25
2024-05-10T00:06:14.000Z,qa,one,10.10.20.32,289,2153,11.75,35.625
2024-05-10T00:06:14.000Z,prod,three,10.10.20.35,374,2872,5.0,23.25
2024-05-10T00:06:21.000Z,staging,three,10.10.20.31,741,2234,0.625,3.5
2024-05-10T00:06:35.000Z,staging,two,10.10.20.31,599,602,5.25,26.5
2024-05-10T00:06:42.000Z,qa,one,10.10.20.30,837,2990,12.375,48.0
2024-05-10T00:06:42.000Z,qa,three,10.10.20.35,376,376,4.625,42.625
2024-05-10T00:06:42.000Z,qa,two,10.10.20.30,667,6184,11.25,42.875
2024-05-10T00:07:19.000Z,qa,three,10.10.20.33,537,913,1.0,43.625
2024-05-10T00:07:19.000Z,qa,one,10.10.20.32,3,2993,12.125,60.125
2024-05-10T00:07:33.000Z,qa,one,10.10.20.34,446,3439,9.875,70.0
