id:l, intersects:boolean, within:boolean, centroid:geo_point, location:geo_point,              subset:geo_point
0,    true,               true,           "POINT(0.0 5.0)",   ["POINT(5 5)", "POINT(-5 5)"],   "POINT(5 5)"
1,    true,               true,           "POINT(0.5 0.5)",   ["POINT(0 1)","POINT(1 0)"],     "POINT(0 1)"
2,    true,               true,           "POINT(9.0 9.0)",   "POINT(9 9)",                    "POINT(9 9)"
3,    true,               true,           "POINT(0.0 0.0)",   ["POINT(-9 -9)","POINT(9 9)"],   "POINT(-9 -9)"
4,    true,               false,          "POINT(10.0 10.0)", ["POINT(5 5)", "POINT(15 15)"],  "POINT(5 5)"
5,    true,               false,          "POINT(5.5 5.5)",   ["POINT(0 0)","POINT(11 11)"],   "POINT(0 0)"
6,    true,               false,          "POINT(0.0 -5.0)",  ["POINT(-9 -19)","POINT(9 9)"],  "POINT(-9 -19)"
7,    false,              false,          "POINT(10.0 10.0)", ["POINT(5 15)", "POINT(15 5)"],  "POINT(5 15)"
8,    false,              false,          "POINT(5.5 5.5)",   ["POINT(0 11)","POINT(11 0)"],   "POINT(0 11)"
9,    false,              false,          "POINT(19.0 9.0)",  "POINT(19 9)",                   "POINT(19 9)"
10,   false,              false,          "POINT(5.0 -5.0)",  ["POINT(-9 -19)","POINT(19 9)"], "POINT(-9 -19)"
11,   true,               false,          "POINT(0.0 0.0)",   ["POINT(0 0)", "POINT(55 55)", "POINT(-55 -55)"],   ["POINT(0 0)", "POINT(55 55)"]
12,   true,               false,          "POINT(0.0 0.0)",   ["POINT(0 0)", "POINT(55 55)", "POINT(-55 -55)"],   ["POINT(0 0)", "POINT(55 54)"]
