id,date,product,sku,price,tax,shipped
550375,2016-12-01T00:04:19.000Z,"[""Basic T-shirt - Medium Slate Blue"",""Tracksuit bottoms - black""]","[""ZO0567505675"",""ZO0622006220""]","[11,25]","[2.09,4.75]","[2016-12-03T00:04:19.000Z,2016-12-03T10:04:19.000Z]"
550385,2016-12-01T00:08:38.000Z,"[""Bomber Jacket - gold"",""Rucksack - brandy""]","[""ZO0267102671"",""ZO0357703577""]","[50,33]","[9.5,6.27]","[2016-12-03T00:08:38.000Z,2016-12-03T10:08:38.000Z]"
550405,2016-12-01T00:23:02.000Z,"[""Trainers - rosa"",""Scarf - offwhite""]","[""ZO0083400834"",""ZO0240802408""]","[60,12]","[11.4,2.28]","[2016-12-03T00:23:02.000Z,2016-12-03T10:23:02.000Z]"
550412,2016-12-01T00:33:07.000Z,"[""Trainers - white/black"",""Lace-ups - black ""]","[""ZO0508905089"",""ZO0681206812""]","[21,60]","[3.99,11.4]","[2016-12-03T00:33:07.000Z,2016-12-03T10:33:07.000Z]"
550425,2016-12-01T00:47:31.000Z,"[""Boots - black"",""Trainers - navy""]","[""ZO0256602566"",""ZO0516305163""]","[65,21]","[12.35,3.99]","[2016-12-03T00:47:31.000Z,2016-12-03T10:47:31.000Z]"
728387,2016-12-01T00:50:24.000Z,"[""Across body bag - cognac"",""Sandals - black"",""Cocktail dress / Party dress - eclipse"",""Tote bag - brown""]","[""ZO0089900899"",""ZO0205902059"",""ZO0242802428"",""ZO0338503385""]","[21,50,75,25]","[3.99,9.5,14.25,4.75]","[2016-12-03T00:50:24.000Z,2016-12-03T10:50:24.000Z]"
550428,2016-12-01T00:54:43.000Z,"[""Wallet - red"",""Weekend bag - black""]","[""ZO0195801958"",""ZO0303703037""]","[22,42]","[4.18,7.98]","[2016-12-03T00:54:43.000Z,2016-12-03T10:54:43.000Z]"
550452,2016-12-01T01:16:19.000Z,"[""Boots - tan"",""Across body bag - black""]","[""ZO0325803258"",""ZO0696306963""]","[65,60]","[12.35,11.4]","[2016-12-03T01:16:19.000Z,2016-12-03T11:16:19.000Z]"
550466,2016-12-01T01:27:50.000Z,"[""Summer dress - grey"",""Boots - passion""]","[""ZO0260702607"",""ZO0363203632""]","[50,100]","[9.5,19]","[2016-12-03T01:27:50.000Z,2016-12-03T11:27:50.000Z]"
550471,2016-12-01T01:32:10.000Z,"[""Ankle boots - black"",""Ballet pumps - black""]","[""ZO0143501435"",""ZO0235902359""]","[29,50]","[5.51,9.5]","[2016-12-03T01:32:10.000Z,2016-12-03T11:32:10.000Z]"
550472,2016-12-01T01:37:55.000Z,"[""Boots - cognac"",""High heels - black""]","[""ZO0243802438"",""ZO0667606676""]","[115,65]","[21.85,12.35]","[2016-12-03T01:37:55.000Z,2016-12-03T11:37:55.000Z]"
550473,2016-12-01T01:39:22.000Z,"[""Lace-up boots - dark tan"",""Jumper - dark blue""]","[""ZO0450504505"",""ZO0688006880""]","[65,38]","[12.35,7.22]","[2016-12-03T01:39:22.000Z,2016-12-03T11:39:22.000Z]"
