id,@timestamp,bytes_in,bytes_out,client_ip,client_port,dest_ip,status
1,2017-11-10T21:15:54.130Z,47,388,10.0.1.166,9152,172.27.1.1,OK
2,2017-11-10T21:15:39.988Z,29,374,10.0.1.166,31693,172.27.1.1,OK
3,2017-11-10T21:15:39.611Z,35,303,10.0.1.166,23625,172.27.1.1,OK
4,2017-11-10T21:15:39.601Z,36,312,10.0.1.166,9932,172.27.1.1,OK
5,2017-11-10T21:15:40.792Z,35,344,10.0.1.166,22695,172.27.1.1,OK
6,2017-11-10T21:15:40.805Z,31,503,10.0.1.166,59811,172.27.1.1,OK
7,2017-11-10T21:15:40.790Z,35,458,10.0.1.166,57372,172.27.1.1,OK
8,2017-11-10T21:15:41.799Z,35,281,10.0.1.166,17370,172.27.1.1,OK
9,2017-11-10T21:15:41.867Z,46,231,10.0.1.166,65004,172.27.1.1,OK
10,2017-11-10T20:36:07.364Z,40,506,10.0.1.166,22661,172.27.1.1,OK
11,2017-11-10T20:36:08.083Z,34,471,10.0.1.166,16752,172.27.1.1,OK
12,2017-11-10T20:36:07.402Z,39,503,10.0.1.166,19479,172.27.1.1,OK
13,2017-11-10T20:36:07.852Z,29,502,10.0.1.166,2326,172.27.1.1,OK
14,2017-11-10T20:36:15.922Z,35,280,10.0.1.166,51758,172.27.1.1,OK
15,2017-11-10T20:36:15.752Z,38,225,10.0.1.166,22994,172.27.1.1,OK
16,2017-11-10T20:35:54.122Z,35,326,10.0.1.166,5505,172.27.1.1,OK
17,2017-11-10T20:35:54.177Z,46,466,10.0.1.166,3666,172.27.1.1,OK
18,2017-11-10T20:35:55.149Z,42,238,10.0.1.166,23791,172.27.1.1,OK
19,2017-11-10T17:54:43.904Z,16,,10.0.1.222,,fe80::86ba:3bff:fe05:c3f3,OK
20,2017-11-10T23:23:24.225Z,40,,10.0.1.199,,2001:cafe::ff07:bdcc:bc59:ff9f,OK
21,2017-11-10T17:54:59.036Z,24,,10.0.1.222,,fe80::a65e:60ff:fee8:fee9,OK
22,2017-11-10T21:13:27.669Z,20,,10.0.1.166,,2001:cafe::ff07:bdcc:bc59:ff9f,OK
23,2017-11-10T22:37:41.976Z,24,,10.0.1.199,,2001:cafe::d46a:9bdc:8126:b00b,OK
24,2017-11-10T20:34:43.394Z,8,,10.0.1.166,,2001:cafe::13e1:16fc:8726:1bf8,OK
25,2017-11-10T23:30:46.455Z,40,,10.0.1.199,,2001:cafe::ff07:bdcc:bc59:ff9f,OK
26,2017-11-10T21:13:16.815Z,20,,10.0.1.166,,2001:cafe::ff07:bdcc:bc59:ff9f,OK
27,2017-11-10T23:36:32.936Z,0,,10.0.1.199,,2001:cafe::13e1:16fc:8726:1bf8,OK
28,2017-11-10T23:36:33.652Z,40,,10.0.1.199,,2001:cafe::ff07:bdcc:bc59:ff9f,OK
29,2017-11-10T20:35:26.197Z,20,,10.0.1.166,,2001:cafe::ff07:bdcc:bc59:ff9f,OK
30,2017-11-10T23:36:41.860Z,8,,10.0.1.199,,2001:cafe::13e1:16fc:8726:1bf8,OK
31,2017-11-10T23:56:36.740Z,8,,10.0.1.199,,2001:cafe::13e1:16fc:8726:1bf8,OK
32,2017-11-10T20:29:25.073Z,32,,10.0.1.177,59769,172.20.10.1,Error
33,2017-11-10T21:35:01.089Z,20,,10.0.1.166,,2001:cafe::ff07:bdcc:bc59:ff9f,OK
34,2017-11-10T21:12:17.628Z,20,,10.0.1.166,,2001:cafe::ff07:bdcc:bc59:ff9f,OK
35,2017-11-10T23:17:14.963Z,40,,10.0.1.199,,2001:cafe::ff07:bdcc:bc59:ff9f,OK
36,2017-11-10T23:28:11.228Z,8,,10.0.1.199,,2001:cafe::13e1:16fc:8726:1bf8,OK
37,2017-11-10T22:36:27.057Z,8,,10.0.1.199,,2001:cafe::13e1:16fc:8726:1bf8,OK
38,2017-11-10T20:35:55.154Z,36,281,10.0.1.166,58533,172.27.1.1,OK
39,2017-11-10T20:35:55.154Z,25,273,10.0.1.166,39211,172.27.1.1,OK
40,2017-11-10T20:35:55.147Z,34,253,10.0.1.166,37971,172.27.1.1,OK
41,2017-11-10T20:35:55.147Z,41,503,10.0.1.166,47831,172.27.1.1,OK
42,2017-11-10T21:34:49.360Z,28,,10.0.1.166,,27.58.6.220,Error
43,2017-11-10T20:35:55.154Z,28,206,10.0.1.166,31000,172.27.1.1,OK
44,2017-11-10T20:14:04.149Z,8,,10.0.1.166,,2001:cafe::13e1:16fc:8726:1bf8,OK
45,2017-11-10T19:38:06.086Z,37,239,10.0.1.166,3577,172.27.1.1,OK
46,2017-11-10T21:14:18.665Z,8,,10.0.1.166,,2001:cafe::13e1:16fc:8726:1bf8,OK
47,2017-11-10T20:35:56.411Z,34,202,10.0.1.166,49112,172.27.1.1,OK
48,2017-11-10T20:53:05.013Z,8,,10.0.1.166,,2001:cafe::13e1:16fc:8726:1bf8,OK
49,2017-11-10T21:25:42.922Z,8,,10.0.1.166,,2001:cafe::13e1:16fc:8726:1bf8,OK
50,2017-11-10T21:14:44.469Z,8,,10.0.1.166,,2001:cafe::13e1:16fc:8726:1bf8,OK
51,2017-11-10T21:28:34.339Z,8,,10.0.1.166,,2001:cafe::13e1:16fc:8726:1bf8,OK
52,2017-11-10T20:35:55.779Z,34,227,10.0.1.166,63238,172.27.1.1,OK
53,2017-11-10T20:15:24.430Z,8,,10.0.1.166,,2001:cafe::13e1:16fc:8726:1bf8,OK
54,2017-11-10T20:35:57.135Z,37,239,10.0.1.166,61337,172.27.1.1,OK
55,2017-11-10T17:14:10.096Z,16,,10.0.1.222,,2001:cafe::a98d:374:79e4:4865,OK
56,2017-11-10T20:35:57.136Z,38,476,10.0.1.166,53720,172.27.1.1,OK
57,2017-11-10T23:22:13.540Z,8,,10.0.1.199,,2001:cafe::13e1:16fc:8726:1bf8,OK
58,2017-11-10T20:32:57.922Z,8,,10.0.1.166,,2001:cafe::13e1:16fc:8726:1bf8,OK
59,2017-11-10T21:24:00.911Z,8,,10.0.1.166,,2001:cafe::13e1:16fc:8726:1bf8,OK
60,2017-11-10T20:35:56.506Z,32,503,10.0.1.166,19382,172.27.1.1,OK
